Type,resultados_slope_min,proy,integrals,resultados_r_value_min,rob_s,resultados,rEucliDs
Variable,0.44285094325316804,-0.08680554227553967,-0.15125668208186577,-0.6197543706077089,0.054114900000000285,-1.1302461324779365,1.0958098387707007
Variable,0.4327526472832572,-0.0763073923233668,0.9265511271729941,-0.832288612640931,0.017791200000000673,-1.0373786274861803,1.243264965899036
Variable,0.4476352992209454,-0.12314522675740942,-0.35444145586511916,1.500931514724979,0.0429954000000025,-0.12151288860196093,1.5868879319148559
Variable,0.43526163872218887,-0.10414896346967184,-0.10205227922039595,-0.5217586729515211,0.03558240000000002,0.2659687701567465,0.5184674853806519
Variable,0.43234999650141576,-0.11481950654651549,0.6346181310245503,-0.8284617096947784,0.09488640000000007,0.3369537021332055,1.095811433349045
Variable,0.42427213734668523,-0.1872628536702723,0.5438832988417414,-0.2669294767384562,0.07042350000000047,1.3184671600633204,0.6735962352524889
Variable,0.4500899812366112,-0.22549028342747435,-0.43180381083339153,3.5659840013949666,0.07413000000000104,0.003911615266215588,0.1626457441804762
Variable,0.448662383859421,-0.2259076046070322,0.11080806008736033,3.120541518239567,0.06968219999999958,0.49226659841252063,1.2930757088044134
Variable,0.441667108157209,-0.09337465413870721,-0.4669744413105687,0.7483355522411634,0.04744319999999873,-0.06280354636579336,1.5308538924428607
Variable,0.43204845568462896,-0.05550116239205773,-0.31543069446497984,-0.8229886174009957,0.10081679999999942,0.0508790890551504,0.9202909110391639
Variable,0.0,0.0858064969352233,-0.38808498093846516,0.0,0.0252041999999992,-2.1122933117011082,1.667503029277903
Variable,0.44606153077039884,-0.09781354746047678,-0.265032066607706,0.02178863965221685,0.07190610000000229,-0.018504679042140267,1.5042585814961484
Variable,0.44054483502705494,-0.09176674935492891,-0.07207072200732434,0.5595592053342858,0.062269199999999705,0.03860349931486092,1.3485142364717329
Variable,0.4359745440491999,-0.31150461347065966,-0.1301516657958668,0.2538866612748848,0.04077149999999979,0.24088386938311276,1.2667236640094675
Variable,0.4359745440491999,-0.31150461347065966,-0.1301516657958668,0.2538866612748848,0.04077149999999979,0.24088386938311276,1.2667236640094675
Variable,0.44503068459443523,-0.08569503920948733,1.6478410286339071,-0.2927914779656729,0.08450820000000189,0.9630087788879765,1.1615549406639971
Variable,0.4407969007296345,-0.13230457748538446,-0.12585911996297716,0.6408630005619249,0.054114900000002915,-1.0501879385195265,1.0958169226648367
Variable,0.4413839010357568,-0.13389044291732285,-0.3594599989978323,0.7823717552680294,0.06745829999999949,1.1402042481825927,1.1718688589243618
Variable,0.4443505230846256,-0.005355776591648589,0.08245720623769355,1.7929720710105252,0.10971239999999978,-1.9073443351675765,1.0958172321434183
Variable,0.44159617099140314,-0.10293519504307153,-0.470473541163939,1.1678520864944621,0.045960599999999546,0.02259186052317817,0.8487191069122032
Variable,0.4373832995452849,-0.0472635380484691,0.8372643933595235,0.9312454819280575,0.053373599999999376,0.06422212138155144,1.6974593875426536
Variable,0.44698881705544086,-0.0665011511126524,0.06211963926908312,1.561346906450576,0.025204199999999205,-1.4568835638282513,1.2442202336989474
Variable,0.4392747420859592,-0.021826857460768474,-0.40361663683964116,0.7331503947961443,0.14232960000000008,-2.3065678623735186,1.5204203614149205
Variable,0.4239969991097679,-0.09653049025790439,0.20108376788843918,-0.7886334610652564,0.06523439999999942,1.2773706204980038,0.7594148614203994
Variable,0.4418850940510623,-0.14032396957173257,-0.41385965230436844,-0.40038304653169254,0.04299539999999986,-0.2875002107423992,1.095809867704508
Variable,0.4481194137826759,-0.13209441904840746,0.6191250017429155,0.8467991320209949,0.03632369999999962,-1.7338849149243536,1.2361919967120403
Variable,0.44562218535858156,-0.0898593797976452,-0.029206246796071422,-0.3647458009294533,0.07116480000000004,0.2638338849845234,1.1718675264517433
Variable,0.0,0.04500533560751875,0.589597387872864,0.0,0.1097123999999998,2.376302762900454,0.4786826034159887
Variable,0.4457623829132977,-0.07869757673301651,-0.3818626910074178,1.3143462367056213,0.05040840000000103,-0.1631431494603342,1.139999523865314
Variable,0.44747392879210107,-0.07715759476630404,-0.33225305818122686,0.725745541170143,0.06375179999999889,-2.3353888121985458,1.0958113826816214
Variable,0.4267254888816713,-0.028545728469296403,1.1278713130275146,0.01168441305980484,0.08006040000000039,1.077225135601977,1.0958173272367624
Variable,0.4267254888816713,-0.028545728469296403,1.1278713130275146,0.01168441305980484,0.08006040000000039,1.077225135601977,1.0958173272367624
Variable,0.4270597023215337,-0.0924335721182434,-0.33718412362678707,-0.8020567145610359,0.0518910000000002,-0.32325953737715607,1.4099388215567288
Variable,0.44072255010866257,-0.042894775835075824,-0.04499424251327157,0.22215283794253468,0.042254099999997644,0.21152919826502897,1.4759407229210346
Variable,0.4468970882593659,-0.10393098755420378,0.40635507561161033,0.8178808618105428,0.04670189999999913,0.5296270889264458,1.1718686495136466
Variable,0.4400191040630818,-0.06191060764298807,-0.17292290790796322,-0.6614278138694495,0.01111950000000042,-1.6628999829478945,1.375739668874174
Variable,0.41789933113010636,-0.10502318959888349,1.0135623773888547,-0.24972326421253163,0.062269199999999705,1.3675695190244783,1.3757611443304867
Variable,0.446778493319073,-0.10415667720039802,-0.12936445713567402,2.2239140121831342,0.0785777999999999,0.05514885939959851,1.0958109506668383
