nombre campo banda HJD idEpoc lineas xmin xmax ymin ymax magmax magmin
v20120801_00478 b278 Ks 2456141.60817285 26 610892 3.03 12762.18 3.8 15640.11 17.32 9.795
v20120804_00181 b278 Ks 2456144.51074063 27 492068 3.25 12764.36 3.57 15651.28 17.166 9.913
v20120804_00853 b279 Ks 2456144.6836307 27 476841 3.64 12766.43 4.89 15642.96 17.11 9.727
v20120806_00355 b279 Ks 2456146.70396897 28 369445 3.68 12766.98 4.75 15646.93 16.961 9.017
v20120815_00152 b278 Ks 2456155.52380353 28 599415 3.93 12764.11 3.77 15650.33 17.293 9.614
v20120817_00296 b278 Ks 2456157.565304 29 352799 3.47 12762.69 6.07 15645.36 17.119 9.521
v20120817_00632 b278 Ks 2456157.67992577 30 265719 3.46 12762.74 5.26 15643.09 16.523 8.501
v20120818_00740 b278 Ks 2456158.68093695 31 409125 4.09 12765.68 4.85 15646.88 17.099 9.476
v20120820_00357 b279 Ks 2456160.60001347 29 697118 3.03 12767.05 5.24 15646.6 17.382 9.982
v20120821_00114 b279 Ks 2456161.56627288 30 667221 3.17 12767.2 4.58 15647.47 17.334 9.659
v20120822_00193 b279 Ks 2456162.64197332 31 532814 3.76 12765.39 4.57 15643.97 17.236 9.65
v20120924_00210 b278 Ks 2456195.53998833 32 634777 3.16 12765.45 4.61 15643.58 17.298 10.158
v20120925_00189 b278 Ks 2456196.52480044 33 628196 3.29 12764.52 6.96 15642.47 17.247 9.85
v20120926_00189 b278 Ks 2456197.53362009 34 636785 3.27 12763.71 6.19 15643.59 17.292 10.094
v20120927_00333 b278 Ks 2456198.56201431 35 377792 3.83 12765.42 4.58 15642.45 17.102 9.652
v20130313_00784 b278 Ks 2456365.82303491 36 273050 3.33 12762.31 4.1 15650.44 16.649 8.648
v20130314_00447 b278 Ks 2456366.82812411 37 515421 4.26 12762.79 5.52 15655.37 17.23 9.717
v20130315_00441 b278 Ks 2456367.81714336 38 597193 3.75 12762.74 4.94 15652.37 17.258 9.613
v20130318_00661 b278 Ks 2456370.88031696 39 541069 3.52 12761.63 4.04 15650.28 17.244 9.512
v20130321_00961 b278 Ks 2456373.87737575 40 642593 3.4 12763.81 3.22 15652.35 17.312 9.93
v20130509_01098 b278 Ks 2456422.9019975 41 341086 4.96 12764.7 5.53 15644.92 16.997 9.732
v20130511_00775 b279 Ks 2456424.88940529 32 368777 3.29 12765.05 4.73 15643.96 16.965 9.019
v20130617_00746 b278 Ks 2456461.66384021 42 627356 3.1 12764.33 3.54 15648.04 17.301 9.8
v20130620_00816 b279 Ks 2456464.77626912 33 594017 3.15 12762.44 4.87 15645.64 17.3 9.69
v20130702_00200 b279 Ks 2456476.55561724 34 659365 3.11 12762.45 3.07 15643.89 17.297 9.933
v20130702_00440 b279 Ks 2456476.61999909 35 645957 3.13 12763.42 5.43 15645.61 17.288 10.104
v20130703_00154 b279 Ks 2456477.52743466 36 651313 3.39 12762.39 3.32 15645.93 17.319 9.705
v20130703_00346 b279 Ks 2456477.57984695 37 544650 3.18 12762.11 4.83 15645.19 17.238 9.696
v20130703_00538 b279 Ks 2456477.63061378 38 688081 3.07 12763.39 5.87 15646.36 17.371 9.871
v20130705_00378 b279 Ks 2456479.56274835 39 514553 3.67 12761.79 4.62 15646.91 17.188 9.753
v20130705_00906 b279 Ks 2456479.70592536 40 368197 5.04 12761.8 7.16 15647.39 17.05 9.496
v20130705_01178 b279 Ks 2456479.79998416 41 387880 4.59 12761.14 5.92 15644.1 17.005 9.311
v20130706_00777 b279 Ks 2456480.70307838 42 664011 3.13 12761.35 4.55 15646.62 17.341 10.12
v20130710_00342 b279 Ks 2456484.58745569 43 690649 3.06 12763.02 6.42 15646.91 17.329 9.718
v20130710_00690 b278 Ks 2456484.67874153 43 688798 3.04 12763.73 5.23 15646.33 17.379 9.932
v20130713_00865 b278 Ks 2456487.7077296 44 628513 3.17 12764.64 4.68 15647.5 17.295 9.579
